Grouping,Number of Respondents,0 ($),1 to 100 ($),101 to 500 ($),501 to 1000 ($),1001 to 2000 ($),2001 to 5000 ($),5001 to 10000 ($),10001 to 20000 ($),20001 to 50000 ($),50000+ ($),Mean,Median
ALL,271,12.177121771217712,5.904059040590406,16.605166051660518,11.07011070110701,12.177121771217712,15.867158671586715,10.70110701107011,6.273062730627306,7.380073800738007,1.8450184501845017,6097.616752767528,1500
By County,,,,,,,,,,,,,
Oahu,92,16.304347826086957,9.782608695652174,18.478260869565215,9.782608695652174,15.217391304347828,11.956521739130435,9.782608695652174,5.434782608695652,3.260869565217391,0,3186.571086956522,725
Hawaii,103,4.854368932038835,2.912621359223301,14.563106796116504,10.679611650485436,11.650485436893204,17.475728155339805,15.53398058252427,8.737864077669903,10.679611650485436,2.912621359223301,8746.284466019417,3150
Maui,42,19.047619047619047,4.761904761904762,21.428571428571427,11.904761904761903,11.904761904761903,19.047619047619047,2.380952380952381,0,7.142857142857142,2.380952380952381,4916.488095238095,750
Kauai,33,15.151515151515152,6.0606060606060606,12.121212121212121,15.151515151515152,6.0606060606060606,18.181818181818183,9.090909090909092,6.0606060606060606,9.090909090909092,3.0303030303030303,7179.690909090909,1166.55
By Primary Fishing Motivation,,,,,,,,,,,,,
Recreational Expense,89,12.359550561797752,6.741573033707865,16.853932584269664,15.730337078651685,22.47191011235955,12.359550561797752,8.98876404494382,4.49438202247191,0,0,2161.6011235955057,750
Part-Time Commercial,84,14.285714285714285,3.571428571428571,13.095238095238097,10.714285714285714,5.952380952380952,21.428571428571427,14.285714285714285,5.952380952380952,10.714285714285714,0,5954.880952380952,2800
Subsistence,27,11.11111111111111,11.11111111111111,29.629629629629626,0,11.11111111111111,18.51851851851852,3.7037037037037033,7.4074074074074066,7.4074074074074066,0,4266.1518518518515,375
Full-Time Commercial,33,6.0606060606060606,3.0303030303030303,9.090909090909092,3.0303030303030303,6.0606060606060606,9.090909090909092,15.151515151515152,15.151515151515152,18.181818181818183,15.151515151515152,20914.33484848485,8750
Purely Recreational,9,0,11.11111111111111,44.44444444444444,22.22222222222222,0,11.11111111111111,0,11.11111111111111,0,0,2008.611111111111,375
Cultural,4,25,0,0,0,0,50,0,0,25,0,8312.5,3500
By Most Common Gear,,,,,,,,,,,,,
Troll,137,4.37956204379562,2.9197080291970803,18.97810218978102,11.678832116788321,16.05839416058394,18.97810218978102,12.408759124087592,6.569343065693431,5.839416058394161,2.18978102189781,6062.405401459854,1575
Bait for Pelagic,43,2.3255813953488373,2.3255813953488373,6.976744186046512,9.30232558139535,9.30232558139535,11.627906976744185,18.6046511627907,13.953488372093023,23.25581395348837,2.3255813953488373,13114.31976744186,7125
HL for Deep7 deep,40,25,17.5,17.5,15,7.5,15,0,2.5,0,0,1246.495,255
HL for Deep7 shallow,21,42.857142857142854,14.285714285714285,23.809523809523807,4.761904761904762,9.523809523809524,0,4.761904761904762,0,0,0,641.6214285714286,15
Spear,5,40,20,0,40,0,0,0,0,0,0,238.5,37.5
By Sub-fishery,,,,,,,,,,,,,
Pelagic,261,9.578544061302683,6.130268199233716,16.85823754789272,11.494252873563218,12.643678160919542,16.091954022988507,11.11111111111111,6.513409961685824,7.662835249042145,1.9157088122605364,6316.395172413793,1500
Deep7 Bottom,159,11.949685534591195,8.176100628930817,16.9811320754717,8.176100628930817,12.578616352201259,15.09433962264151,8.80503144654088,6.918238993710692,10.062893081761008,1.257861635220126,6355.937987421384,1425
Non-Deep7 Bottom,165,13.939393939393941,8.484848484848486,16.969696969696972,9.090909090909092,9.696969696969697,13.333333333333334,13.333333333333334,3.6363636363636362,9.696969696969697,1.8181818181818181,6417.616,1125
Coral Reef,48,20.833333333333336,6.25,16.666666666666664,6.25,18.75,12.5,4.166666666666666,4.166666666666666,10.416666666666668,0,5062.740625,937.5
