Grouping,Number of Respondents,0 ($),1 to 100 ($),101 to 500 ($),501 to 1000 ($),1001 to 2000 ($),2001 to 5000 ($),5001 to 10000 ($),10001 to 20000 ($),20001 to 50000 ($),50000+ ($),Mean,Median
ALL,271,76.01476014760148,4.059040590405904,8.118081180811808,2.952029520295203,3.6900369003690034,0.7380073800738007,2.952029520295203,1.107011070110701,0.36900369003690037,0,652.9335793357934,0
By County,,,,,,,,,,,,,
Oahu,92,63.04347826086957,6.521739130434782,13.043478260869565,6.521739130434782,5.434782608695652,1.0869565217391304,3.260869565217391,1.0869565217391304,0,0,632.9891304347826,0
Hawaii,103,82.52427184466019,2.912621359223301,4.854368932038835,1.9417475728155338,3.8834951456310676,0.9708737864077669,2.912621359223301,0,0,0,335.8980582524272,0
Maui,42,88.09523809523809,2.380952380952381,2.380952380952381,0,2.380952380952381,0,2.380952380952381,2.380952380952381,0,0,588.9880952380952,0
Kauai,33,75.75757575757575,3.0303030303030303,12.121212121212121,0,0,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,0,1799.2424242424242,0
By Primary Fishing Motivation,,,,,,,,,,,,,
Recreational Expense,89,76.40449438202246,6.741573033707865,8.98876404494382,3.3707865168539324,2.247191011235955,1.1235955056179776,1.1235955056179776,0,0,0,217.27528089887642,0
Part-Time Commercial,84,82.14285714285714,1.1904761904761905,5.952380952380952,1.1904761904761905,3.571428571428571,0,4.761904761904762,1.1904761904761905,0,0,617.5595238095239,0
Subsistence,27,59.25925925925925,7.4074074074074066,22.22222222222222,3.7037037037037033,3.7037037037037033,0,3.7037037037037033,0,0,0,445.18518518518516,0
Full-Time Commercial,33,78.78787878787878,0,0,6.0606060606060606,6.0606060606060606,3.0303030303030303,3.0303030303030303,0,3.0303030303030303,0,1474.2424242424242,0
Purely Recreational,9,44.44444444444444,22.22222222222222,22.22222222222222,11.11111111111111,0,0,0,0,0,0,190.27777777777777,15
Cultural,4,50,0,0,0,25,0,0,25,0,0,4812.5,875
By Most Common Gear,,,,,,,,,,,,,
Troll,137,78.1021897810219,4.37956204379562,7.2992700729927,3.64963503649635,5.109489051094891,0,1.4598540145985401,0,0,0,248.48540145985402,0
Bait for Pelagic,43,93.02325581395348,0,0,2.3255813953488373,2.3255813953488373,0,2.3255813953488373,0,0,0,255.8139534883721,0
HL for Deep7 deep,40,82.5,2.5,15,0,0,0,0,0,0,0,43.1875,0
HL for Deep7 shallow,21,47.61904761904761,14.285714285714285,14.285714285714285,0,9.523809523809524,4.761904761904762,4.761904761904762,4.761904761904762,0,0,1549.404761904762,2.5
Spear,5,40,0,20,20,0,0,20,0,0,0,1672.5,337.5
By Sub-fishery,,,,,,,,,,,,,
Pelagic,261,76.62835249042146,4.21455938697318,8.42911877394636,3.065134099616858,3.8314176245210727,0.38314176245210724,2.681992337164751,0.38314176245210724,0.38314176245210724,0,522.7777777777778,0
Deep7 Bottom,159,76.10062893081762,4.40251572327044,9.433962264150944,1.8867924528301887,3.1446540880503147,0.628930817610063,3.1446540880503147,0.628930817610063,0.628930817610063,0,671.4465408805031,0
Non-Deep7 Bottom,165,66.66666666666666,6.0606060606060606,13.333333333333334,4.242424242424243,4.242424242424243,0.6060606060606061,3.6363636363636362,0.6060606060606061,0.6060606060606061,0,744.060606060606,0
Coral Reef,48,50,2.083333333333333,10.416666666666668,10.416666666666668,6.25,0,12.5,6.25,2.083333333333333,0,2797.03125,37.5
