Grouping,Number of Respondents,0 ($),1 to 100 ($),101 to 500 ($),501 to 1000 ($),1001 to 2000 ($),2001 to 5000 ($),5001 to 10000 ($),10001 to 20000 ($),20001 to 50000 ($),50000+ ($),Mean,Median
ALL,271,52.02952029520295,4.797047970479705,13.284132841328415,7.011070110701106,5.166051660516605,8.487084870848708,4.797047970479705,3.6900369003690034,0.7380073800738007,0,1539.660295202952,0
By County,,,,,,,,,,,,,
Oahu,92,54.347826086956516,6.521739130434782,8.695652173913043,8.695652173913043,4.3478260869565215,7.608695652173914,4.3478260869565215,5.434782608695652,0,0,1516.5113043478261,0
Hawaii,103,58.252427184466015,3.8834951456310676,10.679611650485436,4.854368932038835,8.737864077669903,5.825242718446602,4.854368932038835,2.912621359223301,0,0,1155.1436893203884,0
Maui,42,35.714285714285715,2.380952380952381,21.428571428571427,9.523809523809524,0,14.285714285714285,9.523809523809524,2.380952380952381,4.761904761904762,0,3025.8928571428573,325
Kauai,33,45.45454545454545,6.0606060606060606,24.242424242424242,6.0606060606060606,3.0303030303030303,12.121212121212121,0,3.0303030303030303,0,0,959.4424242424243,90
By Primary Fishing Motivation,,,,,,,,,,,,,
Recreational Expense,89,57.30337078651685,3.3707865168539324,14.606741573033707,5.617977528089887,4.49438202247191,6.741573033707865,5.617977528089887,2.247191011235955,0,0,1087.4719101123596,0
Part-Time Commercial,84,59.523809523809526,2.380952380952381,9.523809523809524,4.761904761904762,4.761904761904762,10.714285714285714,4.761904761904762,3.571428571428571,0,0,1240.7738095238096,0
Subsistence,27,37.03703703703704,11.11111111111111,18.51851851851852,18.51851851851852,14.814814814814813,0,0,0,0,0,370.4851851851852,120
Full-Time Commercial,33,39.39393939393939,3.0303030303030303,6.0606060606060606,9.090909090909092,6.0606060606060606,12.121212121212121,9.090909090909092,12.121212121212121,3.0303030303030303,0,4068.4045454545453,562.5
Purely Recreational,9,77.77777777777779,11.11111111111111,0,0,0,11.11111111111111,0,0,0,0,501.6666666666667,0
Cultural,4,50,0,0,0,0,0,25,25,0,0,5250,3500
By Most Common Gear,,,,,,,,,,,,,
Troll,137,61.31386861313869,4.37956204379562,13.86861313868613,5.109489051094891,4.37956204379562,5.839416058394161,2.9197080291970803,2.18978102189781,0,0,873.6791240875913,0
Bait for Pelagic,43,60.46511627906976,4.651162790697675,9.30232558139535,4.651162790697675,9.30232558139535,9.30232558139535,2.3255813953488373,0,0,0,663.1406976744186,0
HL for Deep7 deep,40,0,2.5,15,20,5,25,12.5,15,5,0,5607.0575,3027.5
HL for Deep7 shallow,21,61.904761904761905,4.761904761904762,14.285714285714285,0,9.523809523809524,0,4.761904761904762,4.761904761904762,0,0,1101.502380952381,0
Spear,5,40,60,0,0,0,0,0,0,0,0,37.5,37.5
By Sub-fishery,,,,,,,,,,,,,
Pelagic,261,51.34099616858238,4.980842911877394,13.793103448275861,6.896551724137931,5.363984674329502,8.812260536398467,4.597701149425287,3.8314176245210727,0.38314176245210724,0,1454.0150957854405,0
Deep7 Bottom,159,25.157232704402517,7.547169811320755,19.49685534591195,10.69182389937107,8.176100628930817,13.20754716981132,8.176100628930817,6.289308176100629,1.257861635220126,0,2557.298364779874,375
Non-Deep7 Bottom,165,46.06060606060606,6.0606060606060606,16.363636363636363,9.090909090909092,4.848484848484849,7.2727272727272725,4.848484848484849,4.848484848484849,0.6060606060606061,0,1645.5935757575758,75
Coral Reef,48,47.91666666666667,6.25,14.583333333333334,8.333333333333332,12.5,2.083333333333333,4.166666666666666,2.083333333333333,2.083333333333333,0,1606.5947916666667,56.25
