TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,328,23.170731707317074,25.609756097560975,19.20731707317073,15.548780487804878,16.463414634146343
By County,,,,,,
Oahu,120,33.33333333333333,30,17.5,10.833333333333334,8.333333333333332
Hawaii,124,17.741935483870968,19.35483870967742,21.774193548387096,20.161290322580644,20.967741935483872
Maui,45,13.333333333333334,33.33333333333333,17.77777777777778,20,15.555555555555555
Kauai,37,21.62162162162162,18.91891891891892,18.91891891891892,10.81081081081081,29.72972972972973
By Primary Fishing Motivation,,,,,,
Recreational Expense,102,24.509803921568626,24.509803921568626,21.568627450980394,18.627450980392158,10.784313725490197
Part-Time Commercial,88,28.40909090909091,25,15.909090909090908,13.636363636363635,17.045454545454543
Subsistence,47,29.78723404255319,23.404255319148938,21.27659574468085,12.76595744680851,12.76595744680851
Full-Time Commercial,32,15.625,25,21.875,15.625,21.875
Purely Recreational,24,12.5,45.83333333333333,16.666666666666664,16.666666666666664,8.333333333333332
Cultural,4,0,0,25,25,50
By Most Common Gear,,,,,,
Troll,181,27.071823204419886,22.099447513812155,19.88950276243094,14.3646408839779,16.574585635359114
Bait for Pelagic,47,17.02127659574468,29.78723404255319,19.148936170212767,19.148936170212767,14.893617021276595
HL for Deep7 deep,42,19.047619047619047,42.857142857142854,21.428571428571427,11.904761904761903,4.761904761904762
HL for Deep7 shallow,27,18.51851851851852,25.925925925925924,11.11111111111111,29.629629629629626,14.814814814814813
Spear,5,20,20,40,0,20
By Sub-fishery,,,,,,
Pelagic,314,23.56687898089172,25.477707006369428,19.745222929936308,15.605095541401273,15.605095541401273
Deep7 Bottom,188,26.595744680851062,27.127659574468083,19.680851063829788,13.297872340425531,13.297872340425531
Non-Deep7 Bottom,193,25.38860103626943,26.94300518134715,18.65284974093264,14.507772020725387,14.507772020725387
Coral Reef,51,19.607843137254903,23.52941176470588,23.52941176470588,15.686274509803921,17.647058823529413
