TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,340,5,10.294117647058822,25.588235294117645,19.705882352941178,20.294117647058822,19.11764705882353,47.65376470588235
By County,,,,,,,,
Oahu,121,6.6115702479338845,9.090909090909092,19.834710743801654,19.834710743801654,24.793388429752067,19.834710743801654,50.322066115702476
Hawaii,128,3.125,9.375,27.34375,23.4375,15.625,21.09375,48.156171875
Maui,51,9.803921568627452,11.76470588235294,33.33333333333333,21.568627450980394,13.725490196078432,9.803921568627452,35.86921568627451
Kauai,39,0,15.384615384615385,28.205128205128204,5.128205128205128,28.205128205128204,23.076923076923077,52.435641025641026
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,105,3.8095238095238098,7.6190476190476195,23.809523809523807,20,20,24.761904761904763,53.676
Part-Time Commercial,90,7.777777777777778,14.444444444444443,23.333333333333332,17.77777777777778,17.77777777777778,18.88888888888889,43.916444444444444
Subsistence,49,2.0408163265306123,8.16326530612245,26.53061224489796,20.408163265306122,24.489795918367346,18.367346938775512,49.516938775510205
Full-Time Commercial,34,5.88235294117647,20.588235294117645,38.23529411764706,17.647058823529413,11.76470588235294,5.88235294117647,32.181176470588234
Purely Recreational,26,3.8461538461538463,0,23.076923076923077,15.384615384615385,26.923076923076923,30.76923076923077,57.24346153846154
Cultural,4,0,0,25,25,0,50,60
By Most Common Gear,,,,,,,,
Troll,187,0,0,5.88235294117647,22.459893048128343,36.898395721925134,34.75935828877005,71.65588235294118
Bait for Pelagic,46,2.1739130434782608,15.217391304347828,56.52173913043478,26.08695652173913,0,0,24.11586956521739
HL for Deep7 deep,48,6.25,29.166666666666668,52.083333333333336,12.5,0,0,17.020416666666666
HL for Deep7 shallow,29,24.137931034482758,27.586206896551722,48.275862068965516,0,0,0,10.37896551724138
Spear,6,16.666666666666664,50,33.33333333333333,0,0,0,5.833333333333333
By Sub-fishery,,,,,,,,
Pelagic,326,0.9202453987730062,10.736196319018406,26.68711656441718,20.552147239263803,21.165644171779142,19.938650306748464,49.700245398773006
Deep7 Bottom,198,3.0303030303030303,14.14141414141414,34.34343434343434,22.22222222222222,19.696969696969695,6.565656565656567,37.697626262626265
Non-Deep7 Bottom,200,5,15,33.5,20,19,7.5,37.31565
Coral Reef,55,12.727272727272727,14.545454545454545,34.54545454545455,21.818181818181817,14.545454545454545,1.8181818181818181,27.91509090909091
