TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,340,28.52941176470588,19.11764705882353,35.294117647058826,10.588235294117647,5.588235294117648,0.8823529411764706,17.697911764705882
By County,,,,,,,,
Oahu,121,35.53719008264463,21.487603305785125,35.53719008264463,6.6115702479338845,0.8264462809917356,0,11.676115702479338
Hawaii,128,20.3125,14.84375,34.375,16.40625,11.71875,2.34375,26.074140625
Maui,51,31.372549019607842,23.52941176470588,33.33333333333333,7.8431372549019605,3.9215686274509802,0,14.231960784313726
Kauai,39,30.76923076923077,20.51282051282051,38.46153846153847,7.6923076923076925,2.564102564102564,0,13.234871794871795
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,105,34.285714285714285,18.095238095238095,32.38095238095238,8.571428571428571,4.761904761904762,1.9047619047619049,16.461714285714287
Part-Time Commercial,90,22.22222222222222,21.11111111111111,35.55555555555556,12.222222222222221,8.88888888888889,0,20.648
Subsistence,49,40.816326530612244,24.489795918367346,24.489795918367346,8.16326530612245,2.0408163265306123,0,11.561224489795919
Full-Time Commercial,34,17.647058823529413,14.705882352941178,44.11764705882353,11.76470588235294,8.823529411764707,2.941176470588235,25.534117647058824
Purely Recreational,26,34.61538461538461,11.538461538461538,50,3.8461538461538463,0,0,10.705
Cultural,4,25,50,0,25,0,0,12.5
By Most Common Gear,,,,,,,,
Troll,187,26.737967914438503,21.92513368983957,45.45454545454545,5.88235294117647,0,0,12.463368983957219
Bait for Pelagic,46,0,0,10.869565217391305,41.30434782608695,41.30434782608695,6.521739130434782,57.40934782608696
HL for Deep7 deep,48,47.91666666666667,25,27.083333333333332,0,0,0,6.631666666666667
HL for Deep7 shallow,29,37.93103448275862,20.689655172413794,37.93103448275862,3.4482758620689653,0,0,11.022758620689656
Spear,6,50,50,0,0,0,0,2.5
By Sub-fishery,,,,,,,,
Pelagic,326,25.4601226993865,19.938650306748464,36.809815950920246,11.042944785276074,5.828220858895705,0.9202453987730062,18.457944785276073
Deep7 Bottom,198,28.28282828282828,18.181818181818183,37.878787878787875,9.090909090909092,6.0606060606060606,0.5050505050505051,17.695151515151515
Non-Deep7 Bottom,200,22,20,40,10.5,7.000000000000001,0.5,19.0782
Coral Reef,55,30.909090909090907,14.545454545454545,45.45454545454545,1.8181818181818181,7.2727272727272725,0,16.31509090909091
