TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,81,48.148148148148145,8.641975308641975,19.753086419753085,11.11111111111111,8.641975308641975,3.7037037037037033,20.26530864197531
By County,,,,,,,,
Oahu,30,60,10,16.666666666666664,6.666666666666667,6.666666666666667,0,12.644333333333334
Hawaii,28,32.142857142857146,7.142857142857142,21.428571428571427,17.857142857142858,14.285714285714285,7.142857142857142,31.386785714285715
Maui,16,50,0,31.25,6.25,6.25,6.25,20.208125
Kauai,7,57.14285714285714,28.57142857142857,0,14.285714285714285,0,0,8.571428571428571
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,16,50,0,18.75,25,6.25,0,21.801875
Part-Time Commercial,24,41.66666666666667,8.333333333333332,25,8.333333333333332,12.5,4.166666666666666,24.347083333333334
Subsistence,14,35.714285714285715,21.428571428571427,21.428571428571427,14.285714285714285,0,7.142857142857142,19.214285714285715
Full-Time Commercial,7,71.42857142857143,0,14.285714285714285,0,0,14.285714285714285,19.047142857142855
Purely Recreational,4,75,0,25,0,0,0,2.5
Cultural,3,66.66666666666666,33.33333333333333,0,0,0,0,1.6666666666666667
By Most Common Gear,,,,,,,,
Troll,39,51.28205128205128,12.82051282051282,17.94871794871795,10.256410256410255,7.6923076923076925,0,15.623846153846154
Bait for Pelagic,11,36.36363636363637,0,18.181818181818183,27.27272727272727,18.181818181818183,0,29.136363636363637
HL for Deep7 deep,22,40.909090909090914,4.545454545454546,22.727272727272727,9.090909090909092,9.090909090909092,13.636363636363635,28.92409090909091
HL for Deep7 shallow,4,75,25,0,0,0,0,1.25
Spear,,,,,,,,
By Sub-fishery,,,,,,,,
Pelagic,78,48.717948717948715,8.974358974358974,17.94871794871795,11.538461538461538,8.974358974358974,3.8461538461538463,20.190128205128204
Deep7 Bottom,63,44.44444444444444,11.11111111111111,20.634920634920633,11.11111111111111,7.936507936507936,4.761904761904762,20.827936507936506
Non-Deep7 Bottom,61,44.26229508196721,9.836065573770492,18.0327868852459,13.114754098360656,11.475409836065573,3.278688524590164,22.805901639344263
Coral Reef,26,3.8461538461538463,11.538461538461538,34.61538461538461,30.76923076923077,15.384615384615385,3.8461538461538463,37.19846153846154
